Test,Width x Height,Real time[s],,Average,StdDev
Test 1,1920x1280,3.33156,,3.00942129,0.1697397191
Test 2,1920x1280,3.22557,,,
Test 3,1920x1280,3.19576,,,
Test 4,1920x1280,3.2915,,,
Test 5,1920x1280,2.927553,,,
Test 6,1920x1280,2.933029,,,
Test 7,1920x1280,2.944892,,,
Test 8,1920x1280,2.93936,,,
Test 9,1920x1280,2.940659,,,
Test 10,1920x1280,3.33216,,,
Test 11,1920x1280,2.934351,,,
Test 12,1920x1280,3.23903,,,
Test 13,1920x1280,2.934145,,,
Test 14,1920x1280,3.30295,,,
Test 15,1920x1280,2.92892,,,
Test 16,1920x1280,2.939644,,,
Test 17,1920x1280,2.930515,,,
Test 18,1920x1280,2.943432,,,
Test 19,1920x1280,2.939337,,,
Test 20,1920x1280,2.931742,,,
Test 21,1920x1280,2.934897,,,
Test 22,1920x1280,2.946486,,,
Test 23,1920x1280,2.894367,,,
Test 24,1920x1280,2.906301,,,
Test 25,1920x1280,2.896764,,,
Test 26,1920x1280,2.963512,,,
Test 27,1920x1280,2.934051,,,
Test 28,1920x1280,2.936319,,,
Test 29,1920x1280,2.937289,,,
Test 30,1920x1280,2.893344,,,
Test 31,1920x1280,2.952421,,,
Test 32,1920x1280,2.935498,,,
Test 33,1920x1280,3.216511,,,
Test 34,1920x1280,2.935365,,,
Test 35,1920x1280,3.31301,,,
Test 36,1920x1280,2.880583,,,
Test 37,1920x1280,2.934196,,,
Test 38,1920x1280,2.948622,,,
Test 39,1920x1280,3.28457,,,
Test 40,1920x1280,2.932924,,,
Test 41,1920x1280,2.938235,,,
Test 42,1920x1280,2.937327,,,
Test 43,1920x1280,3.27997,,,
Test 44,1920x1280,2.882457,,,
Test 45,1920x1280,2.900494,,,
Test 46,1920x1280,2.937098,,,
Test 47,1920x1280,3.27785,,,
Test 48,1920x1280,2.935694,,,
Test 49,1920x1280,2.934811,,,
Test 50,1920x1280,2.940843,,,
Test 51,1920x1280,2.942232,,,
Test 52,1920x1280,3.51206,,,
Test 53,1920x1280,2.934902,,,
Test 54,1920x1280,2.940911,,,
Test 55,1920x1280,2.895679,,,
Test 56,1920x1280,2.936917,,,
Test 57,1920x1280,2.933962,,,
Test 58,1920x1280,3.40718,,,
Test 59,1920x1280,2.933215,,,
Test 60,1920x1280,2.936951,,,
Test 61,1920x1280,2.899186,,,
Test 62,1920x1280,2.901359,,,
Test 63,1920x1280,2.892424,,,
Test 64,1920x1280,3.26879,,,
Test 65,1920x1280,3.20493,,,
Test 66,1920x1280,2.939119,,,
Test 67,1920x1280,2.938737,,,
Test 68,1920x1280,2.941344,,,
Test 69,1920x1280,2.936803,,,
Test 70,1920x1280,2.897668,,,
Test 71,1920x1280,2.902836,,,
Test 72,1920x1280,2.945441,,,
Test 73,1920x1280,2.933411,,,
Test 74,1920x1280,2.894884,,,
Test 75,1920x1280,2.921479,,,
Test 76,1920x1280,3.35831,,,
Test 77,1920x1280,3.2095,,,
Test 78,1920x1280,2.939395,,,
Test 79,1920x1280,2.938242,,,
Test 80,1920x1280,2.933549,,,
Test 81,1920x1280,2.889817,,,
Test 82,1920x1280,2.930783,,,
Test 83,1920x1280,3.116025,,,
Test 84,1920x1280,3.160364,,,
Test 85,1920x1280,3.80769,,,
Test 86,1920x1280,2.908055,,,
Test 87,1920x1280,2.995418,,,
Test 88,1920x1280,2.912985,,,
Test 89,1920x1280,2.865796,,,
Test 90,1920x1280,2.995189,,,
Test 91,1920x1280,2.99249,,,
Test 92,1920x1280,2.917506,,,
Test 93,1920x1280,3.26,,,
Test 94,1920x1280,2.903767,,,
Test 95,1920x1280,2.997078,,,
Test 96,1920x1280,2.919784,,,
Test 97,1920x1280,2.876591,,,
Test 98,1920x1280,2.912908,,,
Test 99,1920x1280,2.909496,,,
Test 100,1920x1280,2.871053,,,
