Test,Width x Height,Real time[s],,Average,StdDev
Test 1,1920x1280,6.78561,,6.67624571,0.1576906257
Test 2,1920x1280,6.77498,,,
Test 3,1920x1280,6.79112,,,
Test 4,1920x1280,6.75615,,,
Test 5,1920x1280,6.60133,,,
Test 6,1920x1280,6.57596,,,
Test 7,1920x1280,6.85421,,,
Test 8,1920x1280,6.84968,,,
Test 9,1920x1280,6.90962,,,
Test 10,1920x1280,6.145278,,,
Test 11,1920x1280,6.65365,,,
Test 12,1920x1280,6.5767,,,
Test 13,1920x1280,6.90398,,,
Test 14,1920x1280,6.88703,,,
Test 15,1920x1280,6.59525,,,
Test 16,1920x1280,6.59712,,,
Test 17,1920x1280,6.83415,,,
Test 18,1920x1280,6.58881,,,
Test 19,1920x1280,6.84586,,,
Test 20,1920x1280,6.8047,,,
Test 21,1920x1280,6.81046,,,
Test 22,1920x1280,6.63093,,,
Test 23,1920x1280,6.65887,,,
Test 24,1920x1280,6.59394,,,
Test 25,1920x1280,6.8635,,,
Test 26,1920x1280,6.82734,,,
Test 27,1920x1280,6.61777,,,
Test 28,1920x1280,6.63706,,,
Test 29,1920x1280,6.94886,,,
Test 30,1920x1280,6.81871,,,
Test 31,1920x1280,6.83922,,,
Test 32,1920x1280,6.83461,,,
Test 33,1920x1280,6.64914,,,
Test 34,1920x1280,6.63198,,,
Test 35,1920x1280,6.56308,,,
Test 36,1920x1280,6.80823,,,
Test 37,1920x1280,6.62355,,,
Test 38,1920x1280,6.85754,,,
Test 39,1920x1280,6.60679,,,
Test 40,1920x1280,6.62809,,,
Test 41,1920x1280,6.57954,,,
Test 42,1920x1280,6.67708,,,
Test 43,1920x1280,6.57283,,,
Test 44,1920x1280,6.8382,,,
Test 45,1920x1280,6.8303,,,
Test 46,1920x1280,6.66189,,,
Test 47,1920x1280,6.65364,,,
Test 48,1920x1280,6.57973,,,
Test 49,1920x1280,6.61624,,,
Test 50,1920x1280,6.6202,,,
Test 51,1920x1280,6.71735,,,
Test 52,1920x1280,6.57227,,,
Test 53,1920x1280,6.60712,,,
Test 54,1920x1280,6.70997,,,
Test 55,1920x1280,6.62525,,,
Test 56,1920x1280,6.62321,,,
Test 57,1920x1280,6.62733,,,
Test 58,1920x1280,6.90358,,,
Test 59,1920x1280,6.59199,,,
Test 60,1920x1280,6.81745,,,
Test 61,1920x1280,6.80501,,,
Test 62,1920x1280,6.58575,,,
Test 63,1920x1280,6.82841,,,
Test 64,1920x1280,6.77182,,,
Test 65,1920x1280,6.65215,,,
Test 66,1920x1280,6.61552,,,
Test 67,1920x1280,6.59375,,,
Test 68,1920x1280,6.57539,,,
Test 69,1920x1280,6.81793,,,
Test 70,1920x1280,6.7876,,,
Test 71,1920x1280,6.59997,,,
Test 72,1920x1280,6.61664,,,
Test 73,1920x1280,6.86683,,,
Test 74,1920x1280,6.62518,,,
Test 75,1920x1280,6.8259,,,
Test 76,1920x1280,6.58233,,,
Test 77,1920x1280,6.63818,,,
Test 78,1920x1280,6.56707,,,
Test 79,1920x1280,6.61566,,,
Test 80,1920x1280,6.81338,,,
Test 81,1920x1280,6.63101,,,
Test 82,1920x1280,6.83144,,,
Test 83,1920x1280,6.62393,,,
Test 84,1920x1280,6.60455,,,
Test 85,1920x1280,6.61514,,,
Test 86,1920x1280,6.60172,,,
Test 87,1920x1280,6.82282,,,
Test 88,1920x1280,6.6723,,,
Test 89,1920x1280,6.57205,,,
Test 90,1920x1280,6.63093,,,
Test 91,1920x1280,6.6018,,,
Test 92,1920x1280,6.81426,,,
Test 93,1920x1280,6.64998,,,
Test 94,1920x1280,6.13083,,,
Test 95,1920x1280,6.106945,,,
Test 96,1920x1280,6.106838,,,
Test 97,1920x1280,6.61552,,,
Test 98,1920x1280,6.58959,,,
Test 99,1920x1280,6.80023,,,
Test 100,1920x1280,6.61219,,,
