Test,Width x Height,Real time[s],,Average,StdDev
Test 1,1920x1280,2.661176,,2.88145924,0.1481057377
Test 2,1920x1280,2.660042,,,
Test 3,1920x1280,2.652725,,,
Test 4,1920x1280,2.655603,,,
Test 5,1920x1280,2.659483,,,
Test 6,1920x1280,2.659673,,,
Test 7,1920x1280,2.662996,,,
Test 8,1920x1280,2.65585,,,
Test 9,1920x1280,2.656439,,,
Test 10,1920x1280,2.655332,,,
Test 11,1920x1280,2.662366,,,
Test 12,1920x1280,2.70266,,,
Test 13,1920x1280,3.87604,,,
Test 14,1920x1280,3.48708,,,
Test 15,1920x1280,3.1256,,,
Test 16,1920x1280,2.95766,,,
Test 17,1920x1280,2.934103,,,
Test 18,1920x1280,2.899584,,,
Test 19,1920x1280,2.877838,,,
Test 20,1920x1280,2.880566,,,
Test 21,1920x1280,3.261892,,,
Test 22,1920x1280,2.882362,,,
Test 23,1920x1280,2.885339,,,
Test 24,1920x1280,2.938916,,,
Test 25,1920x1280,2.882884,,,
Test 26,1920x1280,2.875409,,,
Test 27,1920x1280,2.884279,,,
Test 28,1920x1280,2.891024,,,
Test 29,1920x1280,2.887026,,,
Test 30,1920x1280,2.961561,,,
Test 31,1920x1280,2.94024,,,
Test 32,1920x1280,2.877496,,,
Test 33,1920x1280,2.900105,,,
Test 34,1920x1280,2.881222,,,
Test 35,1920x1280,2.875633,,,
Test 36,1920x1280,2.870032,,,
Test 37,1920x1280,2.881856,,,
Test 38,1920x1280,2.887525,,,
Test 39,1920x1280,2.873649,,,
Test 40,1920x1280,2.882249,,,
Test 41,1920x1280,2.887903,,,
Test 42,1920x1280,2.940446,,,
Test 43,1920x1280,2.873487,,,
Test 44,1920x1280,2.87891,,,
Test 45,1920x1280,2.895097,,,
Test 46,1920x1280,2.881432,,,
Test 47,1920x1280,2.874916,,,
Test 48,1920x1280,2.88257,,,
Test 49,1920x1280,2.8982,,,
Test 50,1920x1280,2.886872,,,
Test 51,1920x1280,2.892912,,,
Test 52,1920x1280,2.876791,,,
Test 53,1920x1280,2.885024,,,
Test 54,1920x1280,2.87807,,,
Test 55,1920x1280,2.879596,,,
Test 56,1920x1280,2.885076,,,
Test 57,1920x1280,2.893976,,,
Test 58,1920x1280,2.878237,,,
Test 59,1920x1280,2.916744,,,
Test 60,1920x1280,2.879649,,,
Test 61,1920x1280,2.872127,,,
Test 62,1920x1280,2.883393,,,
Test 63,1920x1280,2.875798,,,
Test 64,1920x1280,2.875095,,,
Test 65,1920x1280,2.870612,,,
Test 66,1920x1280,2.876734,,,
Test 67,1920x1280,2.8966,,,
Test 68,1920x1280,2.878486,,,
Test 69,1920x1280,2.878442,,,
Test 70,1920x1280,2.884847,,,
Test 71,1920x1280,2.877983,,,
Test 72,1920x1280,2.875364,,,
Test 73,1920x1280,2.873358,,,
Test 74,1920x1280,2.87727,,,
Test 75,1920x1280,2.879468,,,
Test 76,1920x1280,2.875988,,,
Test 77,1920x1280,2.879324,,,
Test 78,1920x1280,2.887091,,,
Test 79,1920x1280,2.875732,,,
Test 80,1920x1280,2.876347,,,
Test 81,1920x1280,2.878957,,,
Test 82,1920x1280,2.880897,,,
Test 83,1920x1280,2.875609,,,
Test 84,1920x1280,2.874353,,,
Test 85,1920x1280,2.920983,,,
Test 86,1920x1280,2.883623,,,
Test 87,1920x1280,2.876138,,,
Test 88,1920x1280,2.879561,,,
Test 89,1920x1280,2.875139,,,
Test 90,1920x1280,2.883139,,,
Test 91,1920x1280,2.876781,,,
Test 92,1920x1280,2.872942,,,
Test 93,1920x1280,2.874425,,,
Test 94,1920x1280,2.885843,,,
Test 95,1920x1280,2.874313,,,
Test 96,1920x1280,2.870765,,,
Test 97,1920x1280,2.886367,,,
Test 98,1920x1280,2.879537,,,
Test 99,1920x1280,2.881065,,,
Test 100,1920x1280,2.876005,,,
